iter	Passed	Remaining
0	4	908
1	13	1344
2	17	1181
3	22	1082
4	30	1201
5	36	1188
6	46	1290
7	50	1223
8	56	1194
9	61	1170
10	65	1131
11	75	1189
12	79	1147
13	83	1113
14	90	1111
15	93	1078
16	97	1052
17	102	1039
18	107	1023
19	111	999
20	115	985
21	121	982
22	125	964
23	129	947
24	133	932
25	137	921
26	141	903
27	144	887
28	148	873
29	152	863
30	155	849
31	159	837
32	162	824
33	167	819
34	171	808
35	174	796
36	178	784
37	183	781
38	187	772
39	190	762
40	193	751
41	198	746
42	202	738
43	205	729
44	209	720
45	214	718
46	218	712
47	222	703
48	225	696
49	231	695
50	236	689
51	239	682
52	246	682
53	250	677
54	254	669
55	258	664
56	263	660
57	266	653
58	270	645
59	276	644
60	279	637
61	283	630
62	286	622
63	292	622
64	296	615
65	299	608
66	303	602
67	308	598
68	311	591
69	315	585
70	318	579
71	323	575
72	327	569
73	330	563
74	334	557
75	339	553
76	342	547
77	346	541
78	349	535
79	354	531
80	357	525
81	361	519
82	364	514
83	369	509
84	372	504
85	377	500
86	381	494
87	385	491
88	389	485
89	392	480
90	396	474
91	400	470
92	405	466
93	409	461
94	412	456
95	417	451
96	421	447
97	424	442
98	429	438
99	435	435
100	439	430
101	442	425
102	447	421
103	451	416
104	454	411
105	458	406
106	463	402
107	466	397
108	470	392
109	473	387
110	478	383
111	481	378
112	485	373
113	488	368
114	493	364
115	497	360
116	500	355
117	504	350
118	511	347
119	514	343
120	518	338
121	523	334
122	528	330
123	531	325
124	535	321
125	540	317
126	543	312
127	546	307
128	550	302
129	555	299
130	559	294
131	562	289
132	566	285
133	570	280
134	574	276
135	577	271
136	581	267
137	586	263
138	589	258
139	593	254
140	597	249
141	602	245
142	606	241
143	610	237
144	614	233
145	619	229
146	623	224
147	627	220
148	632	216
149	638	212
150	641	208
151	645	203
152	650	199
153	653	195
154	657	190
155	660	186
156	665	182
157	669	177
158	672	173
159	676	169
160	681	165
161	685	160
162	688	156
163	691	151
164	697	147
165	701	143
166	705	139
167	710	135
168	714	131
169	718	126
170	721	122
171	725	118
172	729	113
173	732	109
174	736	105
175	740	101
176	745	96
177	748	92
178	752	88
179	758	84
180	762	80
181	766	75
182	769	71
183	774	67
184	777	63
185	781	58
186	784	54
187	789	50
188	793	46
189	796	41
190	800	37
191	805	33
192	809	29
193	813	25
194	817	20
195	823	16
196	827	12
197	831	8
198	838	4
199	841	0
